ID,q_cfs_da,q_cfs_no_da
5780043,468.5063074558666,473.64150715699867
5780041,324.3971987758089,327.1315969902111
5780039,20.93713051428316,21.980179741026465
5780045,0.10382626760451469,0.03635823148835292
5781385,633.339225904632,5147.726059598754
5781931,633.3474215733862,5147.701806771429
5781371,677.8404715451996,5372.659914133562
5781369,662.7567098937577,5333.801099377132
5781375,794.7242671675921,2543.261932149115
5781733,966.1015971022301,2486.708122755983
5781395,948.0916207778891,2304.7700530017723
5781403,586.2447418581717,1921.3583006365682
5781409,459.5451129182848,1245.9154664438672
5781407,92.98838769008017,970.0229578877819
5781373,320.24655023468216,369.35638184469946
5781351,2.3369467422268517,0.0007062936805781996
5781927,2.398162192614026,0.0007062936805781996
5781357,33.39105708717366,0.0007062936805781989
5781411,81.118090848776,632.1959910740118
5781421,91.6174193675909,615.4906444864112
5781939,75.70856682472449,594.0164923264019
5781423,72.71446828809128,581.262365236128
5781425,8.908362706491852,368.36973782501667
5781417,9.630959945717263,351.22799446050095
5781389,75.4123653884702,76.17629711941706
5781387,75.35439768446808,76.20649274968675
5781363,76.2432128381448,76.63580783726127
5781431,69.38353664082132,291.55359794245436
5781477,43.67539100644665,137.99901561672488
5781481,51.32629160697774,76.02042055488452
5781479,53.330177988846074,76.15008603212954
5781475,52.941732625371266,76.14308308338605
5781473,53.140980445342684,76.14874755115991
5781471,54.79281823966109,74.90188628738309
5781487,56.08592052635358,69.89626127194983
5780087,52.263005225313385,83.0018726691391
5781453,55.228182033593555,82.88633644961212
5780081,51.257733334503,83.05762895723718
5780069,74.39416623585316,87.49645904343122
5780073,83.45339458517002,89.57700543274156
5780075,86.65689579970811,90.03085031108319
5780065,93.06462866692621,93.73807761708792
5780055,96.15139885196953,96.48018618683824
5780053,0.18576208226163698,0.13172377141854613
5780061,0.07139408671041823,0.06815734017579583
5780059,0.09733252780194604,0.0907587379542963
5780363,0.051159840021174074,0.0476748234390284
5780361,176.5490202832582,176.72676221985148
5780097,4.9193925485879335,0.030370628264862587
5781311,33.293482809317496,37.352779886479155
5781719,31.085099545184082,32.14267182536244
5781261,428.2513679549613,510.59047904641864
5781253,334.1796896777562,341.48513754217146
5780029,41.00688807464863,41.225158334930846
5781255,121.34603177501407,123.44075913462
5780079,0.12061679607247905,0.03849300559151183
5780089,2.21844590430105,0.03266391449242284
5781301,1025.1477540659444,1026.6821439796363
5780035,1026.1657047687518,1027.5334698040317
5780037,533.7648368132878,533.9951232062485
5781275,212.17669354403026,343.17386881405247
5781303,99.6344092886742,114.52694576918904
5780091,0.7835360805285796,0.06321328402720257
